id,name,rating,user_ratings_total,latitude,longitude,types1,types2,types3,types4,types5,types6,types7,latitude_region
607,Moonlight Tower - Monroe/S 1st,4.4,7.0,30.249419699999997,-97.7552768,point_of_interest, establishment,,,,,,North
608,Muse Maison,5.0,1.0,30.2519162,-97.75670720000001,museum, point_of_interest, establishment,,,,,North
609,Colorado River Park Wildlife Sanctuary,4.0,68.0,30.246767,-97.695284,park, tourist_attraction, point_of_interest, establishment,,,,North
611,Samy sazón tacos food truck,5.0,36.0,30.2528758,-97.7112382,restaurant, food, point_of_interest, establishment,,,,North
615,Parmer Lane Plaza,4.2,110.0,30.403532000000002,-97.6758813,shopping_mall, point_of_interest, establishment,,,,,North
617,Ng Cafe,4.8,426.0,30.411373699999995,-97.67568220000001,restaurant, food, point_of_interest, establishment,,,,North
619,Central Park Shopping Center,4.6,449.0,30.307515600000002,-97.7403171,shopping_mall, point_of_interest, establishment,,,,,North
623,Austin Ghost Tours,4.0,24.0,30.228428700000002,-97.8420437,tourist_attraction, travel_agency, point_of_interest, establishment,,,,North
624,Shops at Arbor Trails,4.4,1219.0,30.221503600000002,-97.8411819,shopping_mall, point_of_interest, establishment,,,,,North
625,Williamson Creek West Greenbelt,4.8,16.0,30.2261435,-97.841676,park, tourist_attraction, point_of_interest, establishment,,,,North
626,Cypress Grill,4.6,1471.0,30.2238132,-97.8389198,bar, restaurant, food, point_of_interest, establishment,,,North
646,Hecho En Mexico Restaurant,4.4,746.0,30.2283738,-97.8633845,bar, restaurant, food, point_of_interest, establishment,,,North
647,Barrow Nature Preserve,4.2,17.0,30.372171500000004,-97.76875550000001,tourist_attraction, park, point_of_interest, establishment,,,,North
649,Abandoned VW bus,4.6,18.0,30.3719413,-97.7807188,point_of_interest, establishment,,,,,,North
652,Killa Wasi,4.8,56.0,30.211302000000003,-97.7360537,restaurant, food, point_of_interest, establishment,,,,North
655,Rundberg Square Shopping Center,3.9,656.0,30.356613,-97.68656490000001,shopping_mall, point_of_interest, establishment,,,,,North
661,Riata Neighborhood Park,4.3,62.0,30.42843719999999,-97.73949410000002,park, point_of_interest, establishment,,,,,North
513,Caspian Grill,4.6,742.0,30.4287212,-97.7604042,restaurant, food, point_of_interest, establishment,,,,North
671,Tacodeli,4.7,1940.0,30.258465700000002,-97.7875819,restaurant, food, point_of_interest, establishment,,,,North
673,Austin Nature & Science Center Outpost,5.0,1.0,30.2692436,-97.7792618,museum, point_of_interest, establishment,,,,,North
676,Statesman Bat Observation Center,4.4,689.0,30.259930800000003,-97.7456007,tourist_attraction, point_of_interest, establishment,,,,,North
680,Springdale Neighborhood Park,3.0,2.0,30.277513899999995,-97.6820217,park, tourist_attraction, point_of_interest, establishment,,,,North
689,Houston School Park,4.2,69.0,30.1964787,-97.7554729,park, tourist_attraction, point_of_interest, establishment,,,,Central
690,AutoNation Toyota Drop Lot,4.0,4.0,30.206839600000002,-97.7612078,shopping_mall, point_of_interest, establishment,,,,,North
691,Ponciana Neighborhood Park,4.1,48.0,30.200791100000004,-97.75508190000001,park, tourist_attraction, point_of_interest, establishment,,,,North
692,Taqueria Lopez,4.7,54.0,30.2025688,-97.7522415,restaurant, food, point_of_interest, establishment,,,,North
693,Austin Rock & Roll Car Museum,4.4,28.0,30.210184,-97.740911,museum, tourist_attraction, point_of_interest, establishment,,,,North
695,Shoal Creek Greenbelt,4.6,269.0,30.292177600000002,-97.7506211,park, tourist_attraction, point_of_interest, establishment,,,,North
696,Olive & June,4.4,500.0,30.3073168,-97.7511306,meal_takeaway, bar, restaurant, food, point_of_interest, establishment,,North
628,Gracywoods Neighborhood Park,4.6,330.0,30.4048608,-97.6963611,park, tourist_attraction, point_of_interest, establishment,,,,North
638,Triangle Commons Park,4.3,58.0,30.314509899999997,-97.733522,park, tourist_attraction, point_of_interest, establishment,,,,North
639,Plaza 5000,4.4,32.0,30.318503000000003,-97.7313201,shopping_mall, point_of_interest, establishment,,,,,North
641,Bistro Vonish,4.7,274.0,30.315285499999998,-97.71663640000001,restaurant, food, point_of_interest, establishment,,,,North
643,Latta Branch Greenbelt,4.5,91.0,30.2164015,-97.86468740000001,park, tourist_attraction, point_of_interest, establishment,,,,North
644,Legend Oaks Plaza,4.2,9.0,30.228388,-97.8629149,shopping_mall, point_of_interest, establishment,,,,,North
702,Eldorado Cafe,4.6,1432.0,30.3618593,-97.7425503,restaurant, food, point_of_interest, establishment,,,,North
704,Crossroads Shopping Center,4.1,675.0,30.3725459,-97.7274627,shopping_mall, point_of_interest, establishment,,,,,North
202,Northcross Center,4.4,197.0,30.3551807,-97.7332367,shopping_mall, point_of_interest, establishment,,,,,North
